y1,y2
0.485705802690722,0.496439494130564
0.519593901265151,0.482521241034903
0.32911739042863,0.507541101403531
0.35527503529304,0.521829632746439
0.525710132242247,0.485558084230116
0.575172505780804,0.482993204408622
0.380050040339387,0.504856499651035
0.452700624386531,0.499990495785564
0.532027844911944,0.483972505245055
0.553244489352155,0.485805998972662
0.537026834586787,0.484570318141494
0.502054733998969,0.487862398096219
0.505075389337428,0.489001473394159
0.421869339095369,0.499586730693554
0.398651696578843,0.535449691297187
0.522694582888897,0.489324249460771
0.304690205060602,0.542733408112731
0.422084076778028,0.501664073779682
0.355061710389269,0.509373717465702
0.498970062664779,0.484905315203255
0.404020433192535,0.505025055916828
0.548099251932853,0.484628278515355
0.407651259003807,0.504910571051115
0.493671798493206,0.493044044146861
0.482979881776201,0.489303069402545
0.475729253976044,0.491161008440291
0.469599673064175,0.483120612254536
0.423984615907249,0.506002961887523
