x1,x2
0.0,0.0
0.0,1.0
1.0,0.0
1.0,1.0
0.1428571429,0.0
0.0,0.2251736818189459
0.0,0.4788159119513757
0.305711012428808,0.31223773106812
0.4721963510944976,0.4108388801939052
0.4113041775428107,0.3217294947117099
0.7318728296086192,0.2459493363276124
0.0632748866342855,0.0
0.2216124156182688,0.217303186067338
0.0,0.0747784427462167
0.1123263202651934,0.0
0.1560128684400088,0.2583186762269862
0.0,0.0592871359765298
0.4587551122397524,0.0
0.3521400200776279,0.2303353883313604
0.2903702470598343,0.0327993597476032
0.2462030966042978,0.3873384622793792
0.8571428571,0.75
0.1428571429,0.75
0.5142857143,0.75
0.8571428571,0.5

0.7920926959828916,0.5349020116130173
0.9071383077676729,0.5254799902563377
0.7241398906192299,0.483898056254154
0.8851463123985924,0.4631058977238293
